Date,tipo_cambio
2021-07-19,"199,042"
2021-07-20,"20,038,099"
2021-07-21,"20,136,049"
2021-07-22,"20,147,141"
2021-07-23,"20,102,751"
2021-07-26,"200,583"
2021-07-27,"200,243"
2021-07-28,"199,541"
2021-07-29,"19,913,799"
2021-07-30,"198,514"
2021-08-02,"198,657"
2021-08-03,"19,901,699"
2021-08-04,"198,626"
2021-08-05,"199,604"
2021-08-06,"19,928,261"
2021-08-09,"20,069,799"
2021-08-10,"2,006,987"
2021-08-11,"20,070,499"
2021-08-12,"19,929,501"
2021-08-13,"1,995,138"
2021-08-16,"198,577"
2021-08-17,"198,801"
2021-08-18,"19,997,549"
2021-08-19,"2,003,904"
2021-08-20,"201,672"
2021-08-23,"203,815"
2021-08-24,"20,317,949"
2021-08-25,"202,061"
2021-08-26,"20,216,101"
2021-08-27,"20,366,501"
2021-08-30,"20,164,301"
2021-08-31,"2,013,925"
2021-09-01,"20,059,601"
2021-09-02,"19,997,749"
2021-09-03,"19,962,351"
2021-09-06,"19,909"
2021-09-07,"198,881"
2021-09-08,"19,927,799"
2021-09-09,"199,275"
2021-09-10,"199,216"
2021-09-13,"19,865,499"
2021-09-14,"19,862"
2021-09-15,"19,897,301"
2021-09-16,"198,445"
2021-09-17,"1,994,055"
2021-09-20,"20,018,499"
2021-09-21,"2,011,894"
2021-09-22,"201,287"
2021-09-23,"2,008,676"
2021-09-24,"200,529"
2021-09-27,"20,053,499"
2021-09-28,"200,895"
2021-09-29,"20,329,769"
2021-09-30,"20,501,101"
2021-10-01,"206,154"
2021-10-04,"204,182"
2021-10-05,"205,016"
2021-10-06,"205,702"
2021-10-07,"20,557,501"
2021-10-08,"20,654,131"
2021-10-11,"2,072,315"
2021-10-12,"20,847"
2021-10-13,"20,780,001"
2021-10-14,"20,553,699"
2021-10-15,"205,418"
2021-10-18,"20,347"
2021-10-19,"20,397,499"
2021-10-20,"20,222,099"
2021-10-21,"202,215"
2021-10-22,"202,932"
2021-10-25,"201,889"
2021-10-26,"201,705"
2021-10-27,"20,196,911"
2021-10-28,"203,048"
2021-10-29,"20,378,401"
2021-11-01,"205,527"
2021-11-02,"208,396"
2021-11-03,"207,803"
2021-11-04,"205,317"
2021-11-05,"205,459"
2021-11-08,"20,372,801"
2021-11-09,"20,332,951"
2021-11-10,"20,319,151"
2021-11-11,"206,064"
2021-11-12,"20,636,431"
2021-11-15,"20,524,191"
2021-11-16,"20,594,801"
2021-11-17,"20,753,799"
2021-11-18,"20,645,399"
2021-11-19,"20,759,501"
2021-11-22,"2,086,084"
2021-11-23,"209,937"
2021-11-24,"21,265,499"
2021-11-25,"214,009"
2021-11-26,"216,245"
2021-11-29,"21,729,601"
2021-11-30,"21,680,799"
2021-12-01,"214,118"
2021-12-02,"21,471,569"
2021-12-03,"2,130,854"
2021-12-06,"21,221,001"
2021-12-07,"212,237"
2021-12-08,"210,282"
2021-12-09,"209,258"
2021-12-10,"20,950,701"
2021-12-13,"20,876,301"
2021-12-14,"20,993,601"
2021-12-15,"21,218,901"
2021-12-16,"21,033,199"
2021-12-17,"20,819,401"
2021-12-20,"208,293"
2021-12-21,"207,554"
2021-12-22,"208,225"
2021-12-23,"207,104"
2021-12-24,"20,628,099"
2021-12-27,"20,607,201"
2021-12-28,"20,683,599"
2021-12-29,"20,662,201"
2021-12-30,"20,558,001"
2021-12-31,"20,459,101"
2022-01-03,"204,816"
2022-01-04,"20,486"
2022-01-05,"20,521,999"
2022-01-06,"205,637"
2022-01-07,"20,493,099"
2022-01-10,"20,390,471"
2022-01-11,"203,582"
2022-01-12,"20,390,511"
2022-01-13,"2,036,285"
2022-01-14,"2,033,367"
2022-01-17,"20,301,001"
2022-01-18,"20,289,499"
2022-01-19,"203,988"
2022-01-20,"205,005"
2022-01-21,"2,053,072"
2022-01-24,"20,448,151"
2022-01-25,"2,057,383"
2022-01-26,"20,607"
2022-01-27,"20,715,401"
2022-01-28,"20,767,401"
2022-01-31,"20,829"
2022-02-01,"206,259"
2022-02-02,"205,457"
2022-02-03,"206,012"
2022-02-04,"205,646"
2022-02-07,"20,653,601"
2022-02-08,"20,580,799"
2022-02-09,"2,059,762"
2022-02-10,"20,487,841"
2022-02-11,"20,557,199"
2022-02-14,"20,510,441"
2022-02-15,"20,408,991"
2022-02-16,"20,383,801"
2022-02-17,"202,864"
2022-02-18,"20,291,599"
2022-02-21,"2,029,525"
2022-02-22,"20,322,981"
2022-02-23,"20,294,399"
2022-02-24,"20,231,701"
2022-02-25,"2,056,337"
2022-02-28,"20,573,139"
2022-03-01,"20,460,699"
